# Nachtrag zu orte.tsv - deutsche Gemeinden aus DE.txt (ADM4),
# die in cities1000 fehlen.  Erzeugt mit 'geocode.py --gemeinden'.
# name	lat	lon	cc	land	pop	region
Aarbergen	50.25118	8.08905	DE	Deutschland	6210	
Adelschlag	48.83330	11.21670	DE	Deutschland	3016	
Ahorn	49.49119	9.53810	DE	Deutschland	2209	
Ahorntal	49.83850	11.42284	DE	Deutschland	2180	
Allstedt	51.40000	11.38330	DE	Deutschland	7535	
Altertheim	49.71670	9.75000	DE	Deutschland	1972	
Altmannstein	48.89675	11.65040	DE	Deutschland	7150	
Altmärkische Höhe	52.83366	11.60016	DE	Deutschland	1737	
Am Ettersberg	51.06289	11.29912	DE	Deutschland	7010	
Am Mellensee	52.14856	13.38251	DE	Deutschland	7224	
Ammerbuch	48.55471	8.96806	DE	Deutschland	11522	
Amt Neuhaus	53.25000	10.93330	DE	Deutschland	4592	
An der Poststraße	51.16697	11.62354	DE	Deutschland	1571	
Angelburg	50.81031	8.43763	DE	Deutschland	3410	
Anger	47.80130	12.86510	DE	Deutschland	4260	
Apenburg-Winterfeld	52.73832	11.20401	DE	Deutschland	1652	
Appenweier	48.53560	7.97840	DE	Deutschland	10374	
Arendsee (Altmark)	52.86670	11.48330	DE	Deutschland	6232	
Argenbühl	47.69789	9.94039	DE	Deutschland	6726	
Arnsberg	51.42630	7.99130	DE	Deutschland	74879	
Arnsdorf	51.10000	13.98330	DE	Deutschland	4960	
Auengrund	50.46670	10.85000	DE	Deutschland	2765	
Auetal	52.23880	9.25160	DE	Deutschland	6001	
Aurach	49.24770	10.41550	DE	Deutschland	3104	
Bach a.d.Donau	49.01670	12.30000	DE	Deutschland	1932	
Bad Bertrich	50.06670	7.03333	DE	Deutschland	1020	
Bad Bodenteich	52.83330	10.68330	DE	Deutschland	4609	
Bad Dürkheim	49.45630	8.08140	DE	Deutschland	19159	
Bad Essen	52.31750	8.41300	DE	Deutschland	16265	
Bad Friedrichshall	49.24067	9.21509	DE	Deutschland	19853	
Bad Gottleuba-Berggießhübel	50.85830	13.95000	DE	Deutschland	5367	
Bad Grund (Harz)	51.80928	10.23952	DE	Deutschland	7738	
Bad Grönenbach	47.87440	10.22240	DE	Deutschland	5780	
Bad Hindelang	47.50400	10.35980	DE	Deutschland	5058	
Bad Laasphe	50.94090	8.33020	DE	Deutschland	13148	
Bad Münstereifel	50.53034	6.82060	DE	Deutschland	18297	
Bad Rodach	50.34129	10.77870	DE	Deutschland	6179	
Bad Sulza	51.08640	11.56982	DE	Deutschland	8001	
Bad Zwesten	51.05000	9.18333	DE	Deutschland	3941	
Barsinghausen	52.31053	9.45610	DE	Deutschland	33941	
Baumholder	49.64890	7.39750	DE	Deutschland	4265	
Bechhofen	49.16370	10.55490	DE	Deutschland	6365	
Bedburg-Hau	51.76457	6.21012	DE	Deutschland	13599	
Beetzsee	52.48330	12.56110	DE	Deutschland	2696	
Beilngries	49.03153	11.47377	DE	Deutschland	10218	
Benz	53.93330	14.06670	DE	Deutschland	1072	
Berg bei Neumarkt in der Oberpfalz	49.33170	11.44030	DE	Deutschland	8048	
Bergheim	48.76670	11.26670	DE	Deutschland	1995	
Berglen	48.85657	9.46861	DE	Deutschland	6860	
Berkatal	51.23797	9.91865	DE	Deutschland	1474	
Berne	53.18180	8.48337	DE	Deutschland	7053	
Beselich	50.46198	8.15546	DE	Deutschland	5835	
Betzenstein	49.68330	11.41670	DE	Deutschland	2491	
Beverstedt	53.43484	8.81827	DE	Deutschland	13354	
Biebergemünd	50.20718	9.28070	DE	Deutschland	8240	
Biebertal	50.64590	8.57572	DE	Deutschland	9893	
Bismark (Altmark)	52.66670	11.56670	DE	Deutschland	7660	
Blaichach	47.50240	10.18592	DE	Deutschland	5518	
Blankenhagen	54.16670	12.35000	DE	Deutschland	1100	
Bobritzsch-Hilbersdorf	50.90985	13.41225	DE	Deutschland	5647	
Boitzenburger Land	53.25500	13.58670	DE	Deutschland	2944	
Borchen	51.64889	8.77000	DE	Deutschland	13721	
Brachttal	50.30512	9.29420	DE	Deutschland	4844	
Breitenbrunn	49.08330	11.61670	DE	Deutschland	3702	
Burgstall	52.41670	11.70000	DE	Deutschland	1480	
Burgwald	51.01381	8.78527	DE	Deutschland	4932	
Burgwedel	52.53524	9.89383	DE	Deutschland	20379	
Buxheim	48.80477	11.29120	DE	Deutschland	3778	
Böhmfeld	48.86670	11.36670	DE	Deutschland	1698	
Bördeland	51.96459	11.70626	DE	Deutschland	7466	
Carinerland	53.99418	11.73791	DE	Deutschland	1300	
Dachsberg	47.71022	8.09118	DE	Deutschland	1380	
Dautphetal	50.84507	8.55718	DE	Deutschland	11466	
Deggenhausertal	47.78014	9.39773	DE	Deutschland	4430	
Delbrück	51.78020	8.48400	DE	Deutschland	32166	
Denkendorf	48.94130	11.47740	DE	Deutschland	5036	
Dermbach	50.71670	10.13330	DE	Deutschland	6889	
Dettmannsdorf	54.10583	12.53532	DE	Deutschland	1019	
Diemelsee	51.34958	8.78781	DE	Deutschland	4507	
Diemelstadt	51.47761	8.99809	DE	Deutschland	5186	
Diepenau	52.42290	8.73333	DE	Deutschland	3824	
Diera-Zehren	51.20000	13.42500	DE	Deutschland	3174	
Diesdorf	52.75000	10.88330	DE	Deutschland	2101	
Dietzhölztal	50.84534	8.29767	DE	Deutschland	5328	
Dollnstein	48.87260	11.07445	DE	Deutschland	2878	
Dorfchemnitz	50.76670	13.45000	DE	Deutschland	1435	
Dornburg	50.51031	8.01979	DE	Deutschland	8506	
Drei Gleichen	50.89570	10.80955	DE	Deutschland	7882	
Dummerstorf	54.01670	12.23330	DE	Deutschland	7562	
Dähre	52.80000	10.90000	DE	Deutschland	1311	
Ebern	50.09422	10.79514	DE	Deutschland	7193	
Ebersburg	50.45943	9.78937	DE	Deutschland	4663	
Ebrach	49.84660	10.50120	DE	Deutschland	1843	
Ebsdorfergrund	50.73569	8.84123	DE	Deutschland	9207	
Edemissen	52.38330	10.26670	DE	Deutschland	12281	
Edewecht	53.12280	8.11380	DE	Deutschland	22632	
Egweil	48.78330	11.23330	DE	Deutschland	1250	
Ehra-Lessien	52.57419	10.78210	DE	Deutschland	1625	
Ehrenberg	50.50000	10.00000	DE	Deutschland	2519	
Ehrenkirchen	47.90618	7.76004	DE	Deutschland	7813	
Elbe-Parey	52.38330	12.01670	DE	Deutschland	6362	
Elsteraue	51.07146	12.22370	DE	Deutschland	7765	
Elsterheide	51.50000	14.16670	DE	Deutschland	3269	
Elztal	49.40114	9.20950	DE	Deutschland	5814	
Emmerthal	52.05027	9.39159	DE	Deutschland	9834	
Engstingen	48.38824	9.29345	DE	Deutschland	5041	
Ense	51.50105	7.96710	DE	Deutschland	12383	
Erxleben	52.21670	11.25000	DE	Deutschland	2664	
Eschenbach i.d.OPf.	49.75250	11.82660	DE	Deutschland	4308	
Eschenburg	50.81057	8.36805	DE	Deutschland	9795	
Eschenlohe	47.60000	11.18330	DE	Deutschland	1556	
Eutingen im Gäu	48.47799	8.75018	DE	Deutschland	6120	
Extertal	52.09143	9.09891	DE	Deutschland	11248	
Falkenstein/Harz	51.73333	11.31665	DE	Deutschland	4924	
Feldatal	50.63665	9.18312	DE	Deutschland	2178	
Feldberg	47.86339	8.06452	DE	Deutschland	1956	
Feldberger Seenlandschaft	53.33910	13.41880	DE	Deutschland	4315	
Felixsee	51.60830	14.52080	DE	Deutschland	1793	
Fernwald	50.56373	8.77867	DE	Deutschland	7109	
Fichtenau	49.07024	10.20968	DE	Deutschland	4588	
Finneland	51.20521	11.50676	DE	Deutschland	1007	
Finnentrop	51.17310	7.97250	DE	Deutschland	17022	
Fischen i.Allgäu	47.46095	10.27165	DE	Deutschland	3156	
Floh-Seligenthal	50.76000	10.48670	DE	Deutschland	5566	
Flörsbachtal	50.12080	9.43750	DE	Deutschland	2274	
Frankenhardt	49.07363	10.00025	DE	Deutschland	5026	
Fredenbeck	53.52360	9.40350	DE	Deutschland	6475	
Freiamt	48.17128	7.91786	DE	Deutschland	4243	
Freigericht	50.13553	9.13649	DE	Deutschland	14165	
Galenbeck	53.64744	13.67418	DE	Deutschland	1090	
Ganzlin	53.38328	12.25149	DE	Deutschland	1374	
Gemünden (Felda)	50.70000	9.05000	DE	Deutschland	2646	
Gerabronn	49.25110	9.92139	DE	Deutschland	4451	
Geratal	50.74228	10.81372	DE	Deutschland	8504	
Gerbstedt	51.63330	11.61670	DE	Deutschland	6601	
Gerstungen	50.96670	10.06670	DE	Deutschland	8884	
Gesees	49.90000	11.53330	DE	Deutschland	1251	
Gleichen	51.47369	10.06619	DE	Deutschland	8663	
Gleina	51.26670	11.73330	DE	Deutschland	1140	
Glottertal	48.04198	7.96220	DE	Deutschland	3225	
Gosen-Neu Zittau	52.36670	13.75000	DE	Deutschland	3226	
Grabfeld	50.44832	10.43255	DE	Deutschland	5425	
Grafenhausen	47.76670	8.26667	DE	Deutschland	2271	
Grafling	48.90000	12.98330	DE	Deutschland	2707	
Grammetal	50.95065	11.23004	DE	Deutschland	6437	
Grasellenbach	49.62889	8.85781	DE	Deutschland	3982	
Groß Plasten	53.55000	12.85000	DE	Deutschland	1043	
Großmehring	48.76670	11.53330	DE	Deutschland	7576	
Gräfenthal	50.53330	11.30000	DE	Deutschland	1806	
